Date,Population,DAYOFWEEK,DAYOFYEAR,enso,mean_humidity,mean_solar_radiation,mean_temp,mean_wind_direction,mean_windspeed,rainfall
2033-05-01,9457801.0,,,,,,,,,
2033-05-31,9457801.0,2.0,125.0,0.0,65.85645833333334,106.55416666666666,13.377916666666666,242.25604166666668,2.732083333333333,0.2
2033-06-01,9465288.5,,,,,,,,,
2033-06-30,9465288.5,3.0,126.0,0.0,57.36833333333333,170.19791666666666,12.044166666666667,240.40916666666664,2.74,0.5
2033-07-01,9472776.0,,,,,,,,,
2033-07-31,9472776.0,4.0,127.0,0.0,62.895,168.24791666666667,12.574166666666663,242.66,1.9041666666666668,0.0
2033-08-01,9480263.5,,,,,,,,,
2033-08-31,9480263.5,5.0,128.0,0.0,64.28,161.025,13.775833333333331,201.77666666666667,1.3549999999999998,1.0
2033-09-01,9487751.0,,,,,,,,,
2033-09-30,9487751.0,6.0,129.0,0.0,69.29416666666667,159.44375,14.555833333333332,163.55416666666667,1.3425,0.0
2033-10-01,9495238.5,,,,,,,,,
2033-10-31,9495238.5,0.0,130.0,0.0,73.44166666666666,156.97708333333335,14.815833333333332,162.53916666666666,1.3233333333333337,0.0
2033-11-01,9502726.0,,,,,,,,,
2033-11-30,9502726.0,1.0,131.0,0.0,57.325,145.69791666666666,14.784166666666666,246.305,2.490833333333333,0.0
2033-12-01,9510213.5,,,,,,,,,
2033-12-31,9510213.5,2.0,132.0,0.0,45.48541666666667,161.96458333333334,11.402708333333337,225.8975,2.7475,0.0
2034-01-01,9517701.0,,,,,,,,,
2034-01-31,9517701.0,3.0,133.0,0.0,58.74666666666666,157.57916666666668,11.683333333333332,220.57,2.681666666666666,0.0
2034-02-01,9525071.75,,,,,,,,,
2034-02-28,9525071.75,4.0,134.0,0.0,67.3575,151.27916666666667,11.518333333333333,214.3766666666667,1.885,0.0
2034-03-01,9532442.5,,,,,,,,,
2034-03-31,9532442.5,5.0,135.0,0.0,64.065,148.97916666666666,12.386666666666668,213.16166666666663,1.925,0.0
2034-04-01,9539813.25,,,,,,,,,
2034-04-30,9539813.25,6.0,136.0,0.0,74.41166666666668,140.58333333333334,12.63,205.22333333333336,1.3175,0.0
2034-05-01,9547184.0,,,,,,,,,
2034-05-31,9547184.0,0.0,137.0,0.0,83.32083333333334,46.95,12.6375,227.5375,1.2466666666666668,0.2
2034-06-01,9554554.75,,,,,,,,,
2034-06-30,9554554.75,1.0,138.0,0.0,79.7275,66.69583333333334,12.871666666666668,212.6891666666667,1.616666666666667,13.0
2034-07-01,9561925.5,,,,,,,,,
2034-07-31,9561925.5,2.0,139.0,0.0,77.42479166666666,114.16458333333333,12.86375,193.855625,1.719375,35.0
2034-08-01,9569296.25,,,,,,,,,
2034-08-31,9569296.25,3.0,140.0,0.0,81.34833333333334,110.0,11.954166666666666,193.2425,1.2908333333333333,1.0
2034-09-01,9576667.0,,,,,,,,,
2034-09-30,9576667.0,4.0,141.0,0.0,82.6625,101.21666666666668,12.075833333333334,201.86,1.7083333333333333,0.0
2034-10-01,9584037.75,,,,,,,,,
2034-10-31,9584037.75,5.0,142.0,0.0,72.94250000000001,103.5375,11.659166666666666,208.7775,2.3158333333333334,6.0
2034-11-01,9591408.5,,,,,,,,,
2034-11-30,9591408.5,6.0,143.0,0.0,77.9225,84.4,10.792500000000002,197.625,1.4383333333333337,5.0
2034-12-01,9598779.25,,,,,,,,,
2034-12-31,9598779.25,0.0,144.0,0.0,79.83791666666667,82.98333333333333,12.168958333333334,174.400625,1.2254166666666666,3.0
2035-01-01,9606150.0,,,,,,,,,
2035-01-31,9606150.0,1.0,145.0,0.0,91.98270833333332,48.88541666666666,13.016458333333333,211.2314583333333,0.7512500000000001,0.8
2035-02-01,9613412.333333334,,,,,,,,,
2035-02-28,9613412.333333334,2.0,146.0,0.0,92.94833333333334,15.10625,12.628333333333332,194.0825,2.214166666666667,12.4
2035-03-01,9620674.666666666,,,,,,,,,
2035-03-31,9620674.666666666,3.0,147.0,0.0,87.92083333333333,65.78750000000001,12.926666666666668,204.79916666666668,1.8775,34.0
2035-04-01,9627937.0,,,,,,,,,
2035-04-30,9627937.0,4.0,148.0,0.0,82.07666666666667,108.79375,13.534166666666666,171.7458333333333,1.2175,1.0
2035-05-01,9635199.333333334,,,,,,,,,
