Date,Population
2049-07-04,10745911.444089457
2049-07-11,10747284.220447285
2049-07-18,10748656.996805111
2049-07-25,10750029.773162939
2049-08-01,10751402.549520766
2049-08-08,10752775.325878594
2049-08-15,10754148.102236422
2049-08-22,10755520.87859425
2049-08-29,10756893.654952077
2049-09-05,10758266.431309905
2049-09-12,10759639.20766773
2049-09-19,10761011.984025558
2049-09-26,10762384.760383386
2049-10-03,10763757.536741214
2049-10-10,10765130.313099042
2049-10-17,10766503.08945687
2049-10-24,10767875.865814697
2049-10-31,10769248.642172525
2049-11-07,10770621.41853035
2049-11-14,10771994.194888178
2049-11-21,10773366.971246006
2049-11-28,10774739.747603834
2049-12-05,10776112.523961661
2049-12-12,10777485.30031949
2049-12-19,10778858.076677317
2049-12-26,10780230.853035145
2050-01-02,10781603.62939297
2050-01-09,10782976.405750798
2050-01-16,10784349.182108626
2050-01-23,10785721.958466453
2050-01-30,10787094.734824281
2050-02-06,10788467.511182109
2050-02-13,10789840.287539937
2050-02-20,10791213.063897764
2050-02-27,10792585.84025559
2050-03-06,10793958.616613418
2050-03-13,10795331.392971246
2050-03-20,10796704.169329073
2050-03-27,10798076.945686901
2050-04-03,10799449.722044729
2050-04-10,10800822.498402556
2050-04-17,10802195.274760384
2050-04-24,10803568.05111821
2050-05-01,10804940.827476038
2050-05-08,10806313.603833865
2050-05-15,10807686.380191693
2050-05-22,10809059.15654952
2050-05-29,10810431.932907348
2050-06-05,10811804.709265176
2050-06-12,10813177.485623004
2050-06-19,10814550.26198083
2050-06-26,10815923.038338657
2050-07-03,10817295.814696485
2050-07-10,10818668.591054313
2050-07-17,10820041.36741214
2050-07-24,10821414.143769968
2050-07-31,10822786.920127796
2050-08-07,10824159.696485624
2050-08-14,10825532.47284345
2050-08-21,10826905.249201277
2050-08-28,10828278.025559105
2050-09-04,10829650.801916933
2050-09-11,10831023.57827476
2050-09-18,10832396.354632588
2050-09-25,10833769.130990416
2050-10-02,10835141.907348244
2050-10-09,10836514.683706071
2050-10-16,10837887.460063897
2050-10-23,10839260.236421725
2050-10-30,10840633.012779552
2050-11-06,10842005.78913738
2050-11-13,10843378.565495208
2050-11-20,10844751.341853036
2050-11-27,10846124.118210863
2050-12-04,10847496.89456869
2050-12-11,10848869.670926517
2050-12-18,10850242.447284345
2050-12-25,10851615.223642172
2051-01-01,10852988.0
2051-01-08,10854188.120209059
2051-01-15,10855388.24041812
2051-01-22,10856588.360627178
2051-01-29,10857788.480836237
2051-02-05,10858988.601045296
2051-02-12,10860188.721254356
2051-02-19,10861388.841463415
2051-02-26,10862588.961672474
2051-03-05,10863789.081881532
2051-03-12,10864989.202090593
2051-03-19,10866189.322299652
2051-03-26,10867389.44250871
2051-04-02,10868589.56271777
2051-04-09,10869789.68292683
2051-04-16,10870989.803135889
2051-04-23,10872189.923344947
2051-04-30,10873390.043554006
2051-05-07,10874590.163763067
2051-05-14,10875790.283972126
2051-05-21,10876990.404181184
2051-05-28,10878190.524390243
2051-06-04,10879390.644599304
2051-06-11,10880590.764808362
2051-06-18,10881790.885017421
2051-06-25,10882991.005226482
2051-07-02,10884191.12543554
2051-07-09,10885391.2456446
2051-07-16,10886591.365853658
2051-07-23,10887791.486062719
2051-07-30,10888991.606271777
2051-08-06,10890191.726480836
2051-08-13,10891391.846689895
2051-08-20,10892591.966898955
2051-08-27,10893792.087108014
2051-09-03,10894992.207317073
2051-09-10,10896192.327526132
2051-09-17,10897392.447735192
2051-09-24,10898592.567944251
2051-10-01,10899792.68815331
2051-10-08,10900992.808362368
2051-10-15,10902192.92857143
2051-10-22,10903393.048780488
2051-10-29,10904593.168989547
2051-11-05,10905793.289198607
2051-11-12,10906993.409407666
2051-11-19,10908193.529616725
2051-11-26,10909393.649825783
2051-12-03,10910593.770034844
2051-12-10,10911793.890243903
2051-12-17,10912994.010452962
2051-12-24,10914194.13066202
2051-12-31,10915394.25087108
2052-01-07,10916594.37108014
2052-01-14,10917794.491289198
2052-01-21,10918994.611498257
2052-01-28,10920194.731707318
2052-02-04,10921394.851916377
2052-02-11,10922594.972125435
2052-02-18,10923795.092334494
2052-02-25,10924995.212543555
2052-03-03,10926195.332752613
2052-03-10,10927395.452961672
2052-03-17,10928595.57317073
2052-03-24,10929795.693379791
2052-03-31,10930995.81358885
2052-04-07,10932195.933797909
2052-04-14,10933396.05400697
2052-04-21,10934596.174216028
2052-04-28,10935796.294425087
2052-05-05,10936996.414634146
2052-05-12,10938196.534843206
2052-05-19,10939396.655052265
2052-05-26,10940596.775261324
2052-06-02,10941796.895470383
2052-06-09,10942997.015679443
2052-06-16,10944197.135888502
2052-06-23,10945397.25609756
2052-06-30,10946597.37630662
2052-07-07,10947797.49651568
2052-07-14,10948997.616724739
2052-07-21,10950197.736933798
2052-07-28,10951397.857142856
2052-08-04,10952597.977351917
2052-08-11,10953798.097560976
2052-08-18,10954998.217770034
2052-08-25,10956198.337979093
2052-09-01,10957398.458188154
2052-09-08,10958598.578397213
2052-09-15,10959798.698606271
2052-09-22,10960998.818815332
2052-09-29,10962198.93902439
2052-10-06,10963399.05923345
2052-10-13,10964599.179442508
2052-10-20,10965799.299651569
2052-10-27,10966999.419860628
2052-11-03,10968199.540069686
2052-11-10,10969399.660278745
2052-11-17,10970599.780487806
2052-11-24,10971799.900696864
2052-12-01,10973000.020905923
2052-12-08,10974200.141114982
2052-12-15,10975400.261324042
2052-12-22,10976600.381533101
2052-12-29,10977800.50174216
2053-01-05,10979000.621951219
2053-01-12,10980200.74216028
2053-01-19,10981400.862369338
2053-01-26,10982600.982578397
2053-02-02,10983801.102787456
2053-02-09,10985001.222996516
2053-02-16,10986201.343205575
2053-02-23,10987401.463414634
2053-03-02,10988601.583623694
2053-03-09,10989801.703832753
2053-03-16,10991001.824041812
2053-03-23,10992201.94425087
2053-03-30,10993402.064459931
2053-04-06,10994602.18466899
2053-04-13,10995802.304878049
2053-04-20,10997002.425087107
2053-04-27,10998202.545296168
2053-05-04,10999402.665505227
2053-05-11,11000602.785714285
2053-05-18,11001802.905923344
2053-05-25,11003003.026132405
2053-06-01,11004203.146341464
2053-06-08,11005403.266550522
2053-06-15,11006603.386759581
2053-06-22,11007803.506968642
2053-06-29,11009003.6271777
2053-07-06,11010203.74738676
2053-07-13,11011403.867595818
2053-07-20,11012603.987804879
2053-07-27,11013804.108013937
2053-08-03,11015004.228222996
2053-08-10,11016204.348432057
2053-08-17,11017404.468641115
2053-08-24,11018604.588850174
2053-08-31,11019804.709059233
2053-09-07,11021004.829268293
2053-09-14,11022204.949477352
2053-09-21,11023405.069686411
2053-09-28,11024605.18989547
2053-10-05,11025805.31010453
2053-10-12,11027005.430313589
2053-10-19,11028205.550522648
2053-10-26,11029405.670731707
2053-11-02,11030605.790940767
2053-11-09,11031805.911149826
2053-11-16,11033006.031358885
2053-11-23,11034206.151567943
2053-11-30,11035406.271777004
2053-12-07,11036606.391986063
2053-12-14,11037806.512195121
2053-12-21,11039006.632404182
2053-12-28,11040206.75261324
2054-01-04,11041406.8728223
2054-01-11,11042606.993031358
2054-01-18,11043807.113240419
2054-01-25,11045007.233449478
2054-02-01,11046207.353658536
2054-02-08,11047407.473867595
2054-02-15,11048607.594076656
2054-02-22,11049807.714285715
2054-03-01,11051007.834494773
2054-03-08,11052207.954703832
2054-03-15,11053408.074912893
2054-03-22,11054608.195121951
2054-03-29,11055808.31533101
2054-04-05,11057008.435540069
2054-04-12,11058208.55574913
2054-04-19,11059408.675958188
2054-04-26,11060608.796167247
2054-05-03,11061808.916376306
2054-05-10,11063009.036585366
2054-05-17,11064209.156794425
2054-05-24,11065409.277003484
2054-05-31,11066609.397212544
2054-06-07,11067809.517421603
2054-06-14,11069009.637630662
2054-06-21,11070209.75783972
2054-06-28,11071409.878048781
2054-07-05,11072609.99825784
2054-07-12,11073810.118466899
2054-07-19,11075010.238675958
2054-07-26,11076210.358885018
2054-08-02,11077410.479094077
2054-08-09,11078610.599303136
2054-08-16,11079810.719512194
2054-08-23,11081010.839721255
2054-08-30,11082210.959930314
2054-09-06,11083411.080139372
2054-09-13,11084611.200348431
2054-09-20,11085811.320557492
2054-09-27,11087011.44076655
2054-10-04,11088211.56097561
2054-10-11,11089411.681184668
2054-10-18,11090611.801393729
2054-10-25,11091811.921602787
2054-11-01,11093012.041811846
2054-11-08,11094212.162020907
2054-11-15,11095412.282229966
2054-11-22,11096612.402439024
2054-11-29,11097812.522648083
2054-12-06,11099012.642857144
2054-12-13,11100212.763066202
2054-12-20,11101412.883275261
2054-12-27,11102613.00348432
2055-01-03,11103813.12369338
2055-01-10,11105013.24390244
2055-01-17,11106213.364111498
2055-01-24,11107413.484320557
2055-01-31,11108613.604529617
2055-02-07,11109813.724738676
2055-02-14,11111013.844947735
2055-02-21,11112213.965156794
2055-02-28,11113414.085365854
2055-03-07,11114614.205574913
2055-03-14,11115814.325783972
2055-03-21,11117014.445993032
2055-03-28,11118214.566202091
2055-04-04,11119414.68641115
2055-04-11,11120614.806620209
2055-04-18,11121814.92682927
2055-04-25,11123015.047038328
2055-05-02,11124215.167247387
2055-05-09,11125415.287456445
2055-05-16,11126615.407665506
2055-05-23,11127815.527874565
2055-05-30,11129015.648083623
2055-06-06,11130215.768292682
2055-06-13,11131415.888501743
2055-06-20,11132616.008710802
2055-06-27,11133816.12891986
2055-07-04,11135016.24912892
2055-07-11,11136216.36933798
2055-07-18,11137416.489547038
2055-07-25,11138616.609756097
2055-08-01,11139816.729965156
2055-08-08,11141016.850174217
2055-08-15,11142216.970383275
2055-08-22,11143417.090592334
2055-08-29,11144617.210801393
2055-09-05,11145817.331010453
2055-09-12,11147017.451219512
2055-09-19,11148217.57142857
2055-09-26,11149417.691637632
2055-10-03,11150617.81184669
2055-10-10,11151817.932055749
2055-10-17,11153018.052264808
2055-10-24,11154218.172473868
2055-10-31,11155418.292682927
2055-11-07,11156618.412891986
2055-11-14,11157818.533101045
2055-11-21,11159018.653310105
2055-11-28,11160218.773519164
2055-12-05,11161418.893728223
2055-12-12,11162619.013937281
2055-12-19,11163819.134146342
2055-12-26,11165019.2543554
2056-01-02,11166219.37456446
2056-01-09,11167419.494773518
2056-01-16,11168619.614982579
2056-01-23,11169819.735191638
2056-01-30,11171019.855400696
2056-02-06,11172219.975609757
2056-02-13,11173420.095818816
2056-02-20,11174620.216027874
2056-02-27,11175820.336236933
2056-03-05,11177020.456445994
2056-03-12,11178220.576655053
2056-03-19,11179420.696864111
2056-03-26,11180620.81707317
2056-04-02,11181820.93728223
2056-04-09,11183021.05749129
2056-04-16,11184221.177700348
2056-04-23,11185421.297909407
2056-04-30,11186621.418118468
2056-05-07,11187821.538327526
2056-05-14,11189021.658536585
2056-05-21,11190221.778745644
2056-05-28,11191421.898954704
2056-06-04,11192622.019163763
2056-06-11,11193822.139372822
2056-06-18,11195022.259581883
2056-06-25,11196222.379790941
2056-07-02,11197422.5
2056-07-09,11198622.620209059
2056-07-16,11199822.74041812
2056-07-23,11201022.860627178
2056-07-30,11202222.980836237
2056-08-06,11203423.101045296
2056-08-13,11204623.221254356
2056-08-20,11205823.341463415
2056-08-27,11207023.461672474
2056-09-03,11208223.581881532
2056-09-10,11209423.702090593
2056-09-17,11210623.822299652
2056-09-24,11211823.94250871
2056-10-01,11213024.06271777
2056-10-08,11214224.18292683
2056-10-15,11215424.303135889
2056-10-22,11216624.423344947
2056-10-29,11217824.543554006
2056-11-05,11219024.663763067
2056-11-12,11220224.783972126
2056-11-19,11221424.904181184
2056-11-26,11222625.024390243
2056-12-03,11223825.144599304
2056-12-10,11225025.264808362
2056-12-17,11226225.385017421
2056-12-24,11227425.505226482
2056-12-31,11228625.62543554
2057-01-07,11229825.7456446
2057-01-14,11231025.865853658
2057-01-21,11232225.986062719
2057-01-28,11233426.106271777
2057-02-04,11234626.226480836
2057-02-11,11235826.346689895
2057-02-18,11237026.466898955
2057-02-25,11238226.587108014
2057-03-04,11239426.707317073
2057-03-11,11240626.827526132
2057-03-18,11241826.947735192
2057-03-25,11243027.067944251
2057-04-01,11244227.18815331
2057-04-08,11245427.308362368
2057-04-15,11246627.42857143
2057-04-22,11247827.548780488
2057-04-29,11249027.668989547
2057-05-06,11250227.789198607
2057-05-13,11251427.909407666
2057-05-20,11252628.029616725
2057-05-27,11253828.149825783
2057-06-03,11255028.270034844
2057-06-10,11256228.390243903
2057-06-17,11257428.510452962
2057-06-24,11258628.63066202
2057-07-01,11259828.75087108
2057-07-08,11261028.87108014
2057-07-15,11262228.991289198
2057-07-22,11263429.111498257
2057-07-29,11264629.231707318
2057-08-05,11265829.351916377
2057-08-12,11267029.472125435
2057-08-19,11268229.592334494
2057-08-26,11269429.712543555
2057-09-02,11270629.832752613
2057-09-09,11271829.952961672
2057-09-16,11273030.07317073
2057-09-23,11274230.193379791
2057-09-30,11275430.31358885
2057-10-07,11276630.433797909
2057-10-14,11277830.55400697
2057-10-21,11279030.674216028
2057-10-28,11280230.794425087
2057-11-04,11281430.914634146
2057-11-11,11282631.034843206
2057-11-18,11283831.155052265
2057-11-25,11285031.275261324
2057-12-02,11286231.395470383
2057-12-09,11287431.515679443
2057-12-16,11288631.635888502
2057-12-23,11289831.75609756
2057-12-30,11291031.87630662
2058-01-06,11292231.99651568
2058-01-13,11293432.116724739
2058-01-20,11294632.236933798
2058-01-27,11295832.357142856
2058-02-03,11297032.477351917
2058-02-10,11298232.597560976
2058-02-17,11299432.717770034
2058-02-24,11300632.837979093
2058-03-03,11301832.958188154
2058-03-10,11303033.078397213
2058-03-17,11304233.198606271
2058-03-24,11305433.318815332
2058-03-31,11306633.43902439
2058-04-07,11307833.55923345
2058-04-14,11309033.679442508
2058-04-21,11310233.799651569
2058-04-28,11311433.919860628
2058-05-05,11312634.040069686
2058-05-12,11313834.160278745
2058-05-19,11315034.280487806
2058-05-26,11316234.400696864
2058-06-02,11317434.520905923
2058-06-09,11318634.641114982
2058-06-16,11319834.761324042
2058-06-23,11321034.881533101
2058-06-30,11322235.00174216
2058-07-07,11323435.121951219
2058-07-14,11324635.24216028
2058-07-21,11325835.362369338
2058-07-28,11327035.482578397
2058-08-04,11328235.602787457
2058-08-11,11329435.722996516
2058-08-18,11330635.843205575
2058-08-25,11331835.963414634
2058-09-01,11333036.083623694
2058-09-08,11334236.203832753
2058-09-15,11335436.324041812
2058-09-22,11336636.44425087
2058-09-29,11337836.564459931
2058-10-06,11339036.68466899
2058-10-13,11340236.804878049
2058-10-20,11341436.925087107
2058-10-27,11342637.045296168
2058-11-03,11343837.165505227
2058-11-10,11345037.285714285
2058-11-17,11346237.405923344
2058-11-24,11347437.526132405
2058-12-01,11348637.646341464
2058-12-08,11349837.766550522
2058-12-15,11351037.886759581
2058-12-22,11352238.006968642
2058-12-29,11353438.1271777
2059-01-05,11354638.24738676
2059-01-12,11355838.367595818
2059-01-19,11357038.487804879
2059-01-26,11358238.608013937
2059-02-02,11359438.728222996
2059-02-09,11360638.848432057
2059-02-16,11361838.968641115
2059-02-23,11363039.088850174
2059-03-02,11364239.209059233
2059-03-09,11365439.329268293
2059-03-16,11366639.449477352
2059-03-23,11367839.569686411
2059-03-30,11369039.68989547
2059-04-06,11370239.81010453
2059-04-13,11371439.930313589
2059-04-20,11372640.050522648
2059-04-27,11373840.170731707
2059-05-04,11375040.290940767
2059-05-11,11376240.411149826
2059-05-18,11377440.531358885
2059-05-25,11378640.651567943
2059-06-01,11379840.771777004
2059-06-08,11381040.891986063
2059-06-15,11382241.012195121
2059-06-22,11383441.132404182
2059-06-29,11384641.25261324
2059-07-06,11385841.3728223
2059-07-13,11387041.493031358
2059-07-20,11388241.613240419
2059-07-27,11389441.733449478
2059-08-03,11390641.853658536
2059-08-10,11391841.973867595
2059-08-17,11393042.094076656
2059-08-24,11394242.214285715
2059-08-31,11395442.334494773
2059-09-07,11396642.454703832
2059-09-14,11397842.574912893
2059-09-21,11399042.695121951
2059-09-28,11400242.81533101
2059-10-05,11401442.935540069
2059-10-12,11402643.05574913
2059-10-19,11403843.175958188
2059-10-26,11405043.296167247
2059-11-02,11406243.416376308
2059-11-09,11407443.536585366
2059-11-16,11408643.656794425
2059-11-23,11409843.777003484
2059-11-30,11411043.897212543
2059-12-07,11412244.017421603
2059-12-14,11413444.137630662
2059-12-21,11414644.25783972
2059-12-28,11415844.378048781
2060-01-04,11417044.49825784
2060-01-11,11418244.618466899
2060-01-18,11419444.738675958
2060-01-25,11420644.858885018
2060-02-01,11421844.979094077
2060-02-08,11423045.099303136
2060-02-15,11424245.219512194
2060-02-22,11425445.339721255
2060-02-29,11426645.459930314
2060-03-07,11427845.580139372
2060-03-14,11429045.700348431
2060-03-21,11430245.820557492
2060-03-28,11431445.94076655
2060-04-04,11432646.06097561
2060-04-11,11433846.181184668
2060-04-18,11435046.301393729
2060-04-25,11436246.421602787
2060-05-02,11437446.541811846
2060-05-09,11438646.662020907
2060-05-16,11439846.782229966
2060-05-23,11441046.902439024
2060-05-30,11442247.022648083
2060-06-06,11443447.142857144
2060-06-13,11444647.263066202
2060-06-20,11445847.383275261
2060-06-27,11447047.50348432
2060-07-04,11448247.62369338
2060-07-11,11449447.74390244
2060-07-18,11450647.864111498
2060-07-25,11451847.984320557
2060-08-01,11453048.104529617
2060-08-08,11454248.224738676
2060-08-15,11455448.344947735
2060-08-22,11456648.465156794
2060-08-29,11457848.585365854
2060-09-05,11459048.705574913
2060-09-12,11460248.825783972
2060-09-19,11461448.945993032
2060-09-26,11462649.066202091
2060-10-03,11463849.18641115
2060-10-10,11465049.306620209
2060-10-17,11466249.42682927
2060-10-24,11467449.547038328
2060-10-31,11468649.667247387
2060-11-07,11469849.787456445
2060-11-14,11471049.907665506
2060-11-21,11472250.027874565
2060-11-28,11473450.148083623
2060-12-05,11474650.268292682
2060-12-12,11475850.388501743
2060-12-19,11477050.508710802
2060-12-26,11478250.62891986
2061-01-02,11479450.74912892
2061-01-09,11480650.86933798
2061-01-16,11481850.989547038
2061-01-23,11483051.109756097
2061-01-30,11484251.229965158
2061-02-06,11485451.350174217
2061-02-13,11486651.470383275
2061-02-20,11487851.590592334
2061-02-27,11489051.710801393
2061-03-06,11490251.831010453
2061-03-13,11491451.951219512
2061-03-20,11492652.07142857
2061-03-27,11493852.191637632
