Date,Population
2045-12-01,10492003.083333334
2046-01-01,10498248.0
2046-02-01,10504381.083333334
2046-03-01,10510514.166666666
2046-04-01,10516647.25
2046-05-01,10522780.333333334
2046-06-01,10528913.416666666
2046-07-01,10535046.5
2046-08-01,10541179.583333334
2046-09-01,10547312.666666666
2046-10-01,10553445.75
2046-11-01,10559578.833333334
2046-12-01,10565711.916666666
2047-01-01,10571845.0
2047-02-01,10577867.666666666
2047-03-01,10583890.333333334
2047-04-01,10589913.0
2047-05-01,10595935.666666666
2047-06-01,10601958.333333334
2047-07-01,10607981.0
2047-08-01,10614003.666666666
2047-09-01,10620026.333333334
2047-10-01,10626049.0
2047-11-01,10632071.666666666
2047-12-01,10638094.333333334
2048-01-01,10644117.0
2048-02-01,10650028.166666666
2048-03-01,10655939.333333334
2048-04-01,10661850.5
2048-05-01,10667761.666666666
2048-06-01,10673672.833333334
2048-07-01,10679584.0
2048-08-01,10685495.166666666
2048-09-01,10691406.333333334
2048-10-01,10697317.5
2048-11-01,10703228.666666666
2048-12-01,10709139.833333334
2049-01-01,10715051.0
2049-02-01,10720851.5
2049-03-01,10726652.0
2049-04-01,10732452.5
2049-05-01,10738253.0
2049-06-01,10744053.5
2049-07-01,10749854.0
2049-08-01,10755654.5
2049-09-01,10761455.0
2049-10-01,10767255.5
2049-11-01,10773056.0
2049-12-01,10778856.5
2050-01-01,10784657.0
2050-02-01,10790351.25
2050-03-01,10796045.5
2050-04-01,10801739.75
2050-05-01,10807434.0
2050-06-01,10813128.25
2050-07-01,10818822.5
2050-08-01,10824516.75
2050-09-01,10830211.0
2050-10-01,10835905.25
2050-11-01,10841599.5
2050-12-01,10847293.75
2051-01-01,10852988.0
2051-02-01,10858580.833333334
2051-03-01,10864173.666666666
2051-04-01,10869766.5
2051-05-01,10875359.333333334
2051-06-01,10880952.166666666
2051-07-01,10886545.0
2051-08-01,10892137.833333334
2051-09-01,10897730.666666666
2051-10-01,10903323.5
2051-11-01,10908916.333333334
2051-12-01,10914509.166666666
2052-01-01,10920102.0
2052-02-01,10925601.25
2052-03-01,10931100.5
2052-04-01,10936599.75
