20140915,20140921,0.51
20140922,20140928,0.32
20140929,20141005,0.39
20141006,20141012,0.41
20141013,20141019,0.46
20141020,20141026,0.39
20141027,20141102,0.46
20141103,20141109,0.57
20141110,20141116,0.66
20141117,20141123,0.79
20141124,20141130,0.70
20141201,20141207,0.71
20141208,20141214,0.78
20141215,20141221,0.80
20141222,20141228,0.63
20141229,20150104,0.45
20150105,20150111,0.41
20150112,20150118,0.48
20150119,20150125,0.56
20150126,20150201,0.47
20150202,20150208,0.52
20150209,20150215,0.44
20150216,20150222,0.42
20150223,20150301,0.64
20150302,20150308,0.45
20150309,20150315,0.23
20150316,20150322,0.45
20150323,20150329,0.50
20150330,20150405,0.40
20150406,20150412,0.45
20150413,20150419,0.75
20150420,20150426,0.73
20150427,20150503,0.73
20150504,20150510,0.65
20150511,20150517,0.68
20150518,20150524,0.82
20150525,20150531,0.98
20150601,20150607,1.05
20150608,20150614,1.15
20150615,20150621,0.97
20150622,20150628,1.03
20150629,20150705,1.13
20150706,20150712,1.35
20150713,20150719,1.47
20150720,20150726,1.38
20150727,20150802,1.69
20150803,20150809,1.79
20150810,20150816,1.87
20150817,20150823,2.01
20150824,20150830,2.20
20150831,20150906,2.19
20150907,20150913,2.27
20150914,20150920,2.25
20150921,20150927,2.18
20150928,20151004,2.24
20151005,20151011,2.28
20151012,20151018,2.28
20151019,20151025,2.35
20151026,20151101,2.53
20151102,20151108,2.59
20151109,20151115,2.64
20151116,20151122,2.77
20151123,20151129,2.52
20151130,20151206,2.52
20151207,20151213,2.40
20151214,20151220,2.55
20151221,20151227,2.17
20151228,20160103,2.26
20160104,20160110,2.17
20160111,20160117,2.45
20160118,20160124,2.40
20160125,20160131,2.40
20160201,20160207,2.24
20160208,20160214,2.11
20160215,20160221,1.83
20160222,20160228,1.51
20160229,20160306,1.45
20160307,20160313,1.47
20160314,20160320,1.30
20160321,20160327,1.14
20160328,20160403,1.13
20160404,20160410,0.92
20160411,20160417,0.98
20160418,20160424,0.90
20160425,20160501,0.62
20160502,20160508,0.61
20160509,20160515,0.49
20160516,20160522,0.03
20160523,20160529,-0.14
20160530,20160605,-0.18
20160606,20160612,-0.08
20160613,20160619,0.04
