Date,Population
2010-04-07,7134765.043478261
2010-04-08,7134938.260869565
2010-04-09,7135111.478260869
2010-04-10,7135284.695652174
2010-04-11,7135457.9130434785
2010-04-12,7135631.130434782
2010-04-13,7135804.347826087
2010-04-14,7135977.565217392
2010-04-15,7136150.782608695
2010-04-16,7136324.0
2010-04-17,7136497.217391305
2010-04-18,7136670.434782608
2010-04-19,7136843.652173913
2010-04-20,7137016.869565218
2010-04-21,7137190.0869565215
2010-04-22,7137363.304347826
2010-04-23,7137536.521739131
2010-04-24,7137709.739130435
2010-04-25,7137882.956521739
2010-04-26,7138056.173913044
2010-04-27,7138229.391304348
2010-04-28,7138402.608695652
2010-04-29,7138575.826086956
2010-04-30,7138749.043478261
2010-05-01,7138922.260869565
2010-05-02,7139095.478260869
2010-05-03,7139268.695652174
2010-05-04,7139441.9130434785
2010-05-05,7139615.130434782
2010-05-06,7139788.347826087
2010-05-07,7139961.565217392
2010-05-08,7140134.782608695
2010-05-09,7140308.0
2010-05-10,7140481.217391305
2010-05-11,7140654.434782608
2010-05-12,7140827.652173913
2010-05-13,7141000.869565218
2010-05-14,7141174.0869565215
2010-05-15,7141347.304347826
2010-05-16,7141520.521739131
2010-05-17,7141693.739130435
2010-05-18,7141866.956521739
2010-05-19,7142040.173913044
2010-05-20,7142213.391304348
2010-05-21,7142386.608695652
2010-05-22,7142559.826086956
2010-05-23,7142733.043478261
2010-05-24,7142906.260869565
2010-05-25,7143079.478260869
2010-05-26,7143252.695652174
2010-05-27,7143425.9130434785
2010-05-28,7143599.130434782
2010-05-29,7143772.347826087
2010-05-30,7143945.565217392
2010-05-31,7144118.782608695
2010-06-01,7144292.0
2010-06-02,7144492.369565218
2010-06-03,7144692.739130435
2010-06-04,7144893.108695652
2010-06-05,7145093.478260869
2010-06-06,7145293.847826087
2010-06-07,7145494.217391305
2010-06-08,7145694.5869565215
2010-06-09,7145894.956521739
2010-06-10,7146095.326086956
2010-06-11,7146295.695652174
2010-06-12,7146496.065217392
2010-06-13,7146696.434782608
2010-06-14,7146896.804347826
2010-06-15,7147097.173913044
2010-06-16,7147297.543478261
2010-06-17,7147497.9130434785
2010-06-18,7147698.282608695
2010-06-19,7147898.652173913
2010-06-20,7148099.021739131
2010-06-21,7148299.391304348
2010-06-22,7148499.760869565
2010-06-23,7148700.130434782
2010-06-24,7148900.5
2010-06-25,7149100.869565218
2010-06-26,7149301.239130435
2010-06-27,7149501.608695652
2010-06-28,7149701.978260869
2010-06-29,7149902.347826087
2010-06-30,7150102.717391305
2010-07-01,7150303.0869565215
2010-07-02,7150503.456521739
2010-07-03,7150703.826086956
2010-07-04,7150904.195652174
2010-07-05,7151104.565217392
2010-07-06,7151304.934782608
2010-07-07,7151505.304347826
2010-07-08,7151705.673913044
2010-07-09,7151906.043478261
2010-07-10,7152106.4130434785
2010-07-11,7152306.782608695
2010-07-12,7152507.152173913
2010-07-13,7152707.521739131
2010-07-14,7152907.891304348
2010-07-15,7153108.260869565
2010-07-16,7153308.630434782
2010-07-17,7153509.0
2010-07-18,7153709.369565218
2010-07-19,7153909.739130435
2010-07-20,7154110.108695652
2010-07-21,7154310.478260869
2010-07-22,7154510.847826087
2010-07-23,7154711.217391305
2010-07-24,7154911.5869565215
2010-07-25,7155111.956521739
2010-07-26,7155312.326086956
2010-07-27,7155512.695652174
2010-07-28,7155713.065217392
2010-07-29,7155913.434782608
2010-07-30,7156113.804347826
2010-07-31,7156314.173913044
2010-08-01,7156514.543478261
