Date,Population,enso,mean_humidity,mean_solar_radiation,mean_temp,mean_wind_direction,mean_windspeed,rainfall,Year,Week,Predicted_Demand
2053-02-16,10986201.343205577,0.0,85.71111111111111,141.5375,17.16190476190476,184.77569444444444,1.194047619047619,29.2,2053,7,7619.065953333337
2053-02-23,10987401.463414634,0.0,82.06805555555556,148.19583333333335,17.073214285714286,227.2876388888889,1.0276785714285714,1.0,2053,8,7590.439562916682
2053-03-02,10988601.583623694,0.0,80.62986111111111,140.60833333333332,14.688690476190477,181.88819444444445,1.1428571428571428,0.0,2053,9,7298.7728433333605
2053-03-09,10989801.703832751,0.0,76.79513888888889,97.7875,14.07440476190476,226.86527777777772,2.645833333333333,9.0,2053,10,7684.601949999997
2053-03-16,10991001.824041812,0.0,70.27986111111112,181.78333333333333,13.15952380952381,213.6180555555556,1.5714285714285714,3.2,2053,11,7639.765121666677
2053-03-23,10992201.94425087,0.0,72.41597222222222,173.96666666666667,12.353571428571428,204.4388888888889,1.616666666666667,0.0,2053,12,7890.758767500025
2053-03-30,10993402.064459931,0.0,83.17777777777778,89.95,12.852380952380951,190.5273611111111,1.5287698412698412,0.0,2053,13,8112.528960416644
2053-04-06,10994602.18466899,0.0,87.8801388888889,81.98958333333333,14.624503968253968,188.56944444444449,1.3976190476190478,8.0,2053,14,7801.401789583315
2053-04-13,10995802.304878049,0.0,89.51875,89.65833333333332,15.526190476190475,184.58402777777772,1.5410714285714286,20.0,2053,15,7724.204434999988
2053-04-20,10997002.425087107,0.0,94.02222222222224,61.21666666666667,17.289285714285715,166.22430555555556,1.461904761904762,14.0,2053,16,7596.5281670833165
2053-04-27,10998202.545296168,0.0,85.24861111111112,84.34791666666668,18.667857142857144,205.2152777777778,2.106547619047619,46.0,2053,17,7509.928244583351
2053-05-04,10999402.665505229,0.0,81.65694444444445,94.49375,17.764880952380953,178.42805555555557,1.3779761904761905,0.6,2053,18,7652.561376666662
2053-05-11,11000602.785714284,0.0,68.52152777777778,163.95,18.37559523809524,274.12152777777777,2.177380952380952,0.0,2053,19,7586.360605833355
2053-05-18,11001802.905923344,0.0,49.02222222222222,171.95833333333334,14.22142857142857,253.9722222222222,3.797619047619048,0.0,2053,20,7668.051541250021
2053-05-25,11003003.026132405,0.0,59.8875,162.75,11.819047619047618,244.14375,2.8833333333333333,0.0,2053,21,8161.698777916678
2053-06-01,11004203.146341464,0.0,56.65416666666667,164.39375,13.052976190476189,242.1798611111111,2.446428571428572,0.0,2053,22,7916.635145000031
2053-06-08,11005403.266550522,0.0,61.083333333333336,161.26874999999998,12.836309523809524,248.50208333333333,2.5404761904761908,0.0,2053,23,7936.447015416685
2053-06-15,11006603.38675958,0.0,59.21527777777778,138.175,13.646527777777775,258.25402777777776,2.657440476190476,0.0,2053,24,7682.590060833325
2053-06-22,11007803.506968642,0.0,54.68958333333333,126.09791666666666,15.915972222222225,255.3227777777778,4.201785714285714,0.0,2053,25,7831.317717916649
2053-06-29,11009003.63,0.0,59.37152777777777,159.66666666666666,14.561309523809523,254.30347222222224,3.3125,0.0,2053,26,7756.433345416657
2053-07-06,11010203.74738676,0.0,56.83416666666667,151.07708333333332,11.200496031746033,244.7152777777778,3.465277777777778,0.0,2053,27,8394.698785000033
2053-07-13,11011403.867595818,0.0,60.895833333333336,159.99166666666667,9.957738095238096,233.85277777777776,2.638095238095238,1.0,2053,28,8426.246270416657
