Year,Week,Predicted_Demand,Date
2025,39,58733.722134968455,2025-09-29
2025,40,58954.23608197356,2025-10-06
2025,41,58971.0498158418,2025-10-13
2025,42,58646.1507835267,2025-10-20
2025,43,60059.90932704186,2025-10-27
2025,44,58724.6670124315,2025-11-03
2025,45,60175.262773521514,2025-11-10
2025,46,58660.18189481903,2025-11-17
2025,47,58465.6509071944,2025-11-24
2025,48,57715.203621364635,2025-12-01
2025,49,58924.2319442943,2025-12-08
2025,50,60835.411720813245,2025-12-15
2025,51,63649.205975233024,2025-12-22
2025,52,60540.94303641317,2025-12-29
2026,1,36289.91642835885,2026-01-05
2026,2,62316.164676063214,2026-01-12
2026,3,65331.382370731924,2026-01-19
